Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
16,1.09,2.44,2.2,15.11,5.33,7.83,485,26.47,35.98,24.91,15.23,44.45,30.77,18.82,1,110095.5515,0
16,1.02,2.15,1.99,16.97,5.88,9.12,455,26.97,36.7,26.1,15.9,40.64,28.9,17.6,1,119497.5881,0
16,0.98,1.99,1.87,17.37,6.37,9.36,450,26.77,36.31,26.15,15.83,38.86,27.99,16.94,1,127983.6914,0
16,0.9,1.89,1.68,18.21,6.06,9.86,439,27.05,34.03,24.73,15.09,37.6,27.32,16.67,1,125688.4458,0
16,0.9,2.11,1.67,17.24,6.79,9.44,459,26.28,38.4,26.88,16.8,42.84,29.99,18.74,1,103905.4018,0
16,1.29,2.48,2.36,20.17,4.83,11.28,403,25.36,39.5,26.26,16.83,50.41,33.51,21.49,1,100809.7021,0
16,1.47,3.61,3.12,18.51,6.9,11.31,567,17.53,52.07,32.37,20.57,60.83,37.82,24.03,1,101150.8872,0
16,1.5,4.18,3.17,11.96,5,6.28,709,17.09,55.56,32.9,21.65,68.87,40.78,26.83,1,109032.6748,0
16,1.33,2.82,2.46,12.56,5.33,6.82,717,17.59,52.83,33.12,21.42,59.51,37.31,24.13,1,105382.5258,0
16,1.2,2.69,2.16,12.64,5.66,6.66,698,17.13,52.89,32.5,20.3,62.75,38.56,24.08,1,104184.1361,0
16,1.4,4.29,3.2,4.36,-0.7,-1.58,703,15.61,58.55,35.64,21.83,64.28,39.13,23.96,1,113761.2292,0
16,1.5,3.79,3.31,13.46,7.51,7.58,685,16.45,54.82,34.62,21.75,58.35,36.85,23.15,1,108612.6765,0
16,1.35,3.64,2.89,14.4,7.95,8.32,679,16.43,51.4,32.54,20.56,57.94,36.68,23.17,1,126604.0883,0
16,1.34,3.47,2.79,15.27,6.85,8.68,632,16.29,50.17,31.95,20.11,57,36.31,22.85,1,130053.1227,0
16,1.64,3.96,3.68,1.68,-4.27,-5.51,575,14.72,55.67,34.61,21.14,60.85,37.83,23.11,1,123690.2858,0
16,1.52,3.73,3.29,19.26,9.44,11.59,537,14.73,47.94,29.89,18.57,60.37,37.65,23.38,1,140623.9209,0
16,1.5,3.3,3.14,20.83,9.56,12.75,514,15.25,47.95,30.52,18.71,57.08,36.34,22.28,2,144055.2724,0
16,1.26,5.92,2.5,20.33,9.52,12.84,555,12.64,100.75,48.01,32.87,109.83,52.34,35.83,2,133572.2168,0
16,0.81,2.93,1.23,15.31,9.07,11.37,1061,14.17,93.97,47.44,32.71,98.09,49.52,34.15,2,140638.68,0
16,2.14,3.34,3.23,9.31,5.29,5.9,1214,5.74,776.96,87.05,48.57,792.5,88.8,49.54,2,196994.4568,0
16,2.04,3.23,3.04,10.18,6.45,6.6,1164,6.64,672.6,85.48,47.99,686.85,87.29,49,2,202826.2083,0
16,2.01,3.23,3,8.81,5.2,5.49,1255,7.33,598.99,84.61,47.56,607.91,85.87,48.27,2,207444.6881,0
16,2.83,5.78,5.21,1.51,-1.98,-1.67,1282,5.29,808.25,87.07,47.52,828.25,89.23,48.69,2,194369.2271,0
16,2.95,5.56,5.32,8.97,5.99,5.98,1332,3.96,1012.63,87.76,46.21,1053.89,91.33,48.09,2,198336.8265,0
16,3,5.54,5.37,9.77,5.31,6.47,1208,4.74,850.28,86.5,45.47,882.95,89.83,47.21,2,189501.8793,0
16,2.91,5.3,5.11,9.6,5.16,6.27,1202,5.43,722.46,82.81,43.4,772.41,88.54,46.4,2,177036.6702,0
