Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
2,7.28,22.18,21.51,2.15,1.07,0.58,123.5,19.12,264.41,71.17,55.69,271.54,73.08,57.19,1,2632.7051,0
2,6.34,21.29,20.52,2.28,0.79,0.48,121.3,18.44,257.75,67.78,52.45,280.28,73.7,57.03,1,2998.5408,0
2,4.91,19.62,16.39,2.38,1.81,0.92,122.1,19.88,243.88,66.91,53.29,264.5,72.56,57.79,1,3027.6302,0
2,4.03,11.82,10.93,2.69,1.68,1,113.3,14.39,440.1,80.73,63.32,445.13,81.66,64.04,1,2980.185,0
2,3.67,9.91,8.99,2.77,2.33,1.5,109.3,15.94,317.15,74.72,58.34,324.47,76.44,59.69,1,2827.1545,0
2,3.7,9.17,8.44,2.76,2.13,1.37,108,17.03,350.87,76.5,59.75,358.67,78.2,61.08,1,3664.2791,0
2,3.35,8.16,7.1,2.8,2.06,1.33,103.1,17.8,328.56,75.51,58.47,335.11,77.02,59.63,1,3187.6754,0
2,3.15,7.41,6.4,2.86,1.99,1.3,99.2,18.41,259.56,71.11,54.57,265.01,72.6,55.71,1,3536.086,0
2,3.26,7.99,6.82,2.88,2.31,1.41,97.8,19.18,299.65,74.89,57.47,300.13,75.01,57.56,2,3714.7894,0
2,3.24,8.27,6.88,2.77,1.97,1.29,97.7,19.65,291.61,74.38,57.3,292.04,74.49,57.39,2,3480.6982,0
2,3.67,8.01,7.64,3.18,2.44,1.63,90.9,19.77,312.55,75.68,61.8,313.01,75.79,61.9,2,4483.1194,0
2,3.64,7.69,7.39,3.1,1.65,1.56,92.7,20.43,313.23,75.71,63.99,313.7,75.83,64.08,2,4683.5391,0
2,3.53,7.57,7.06,3.33,2.74,1.73,83.7,20.04,320.53,76.13,64.23,321.01,76.25,64.32,2,4405.5265,0
