Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20030930,103,0.453,0.517,0.12,0.354,4.94,0.495,0.069,0.83,0.626,0.508,1.677,2.573,0.423,1.502,130.001,2
20031231,103,0.446,0.447,0.228,0.312,4.325,0.508,0.108,0.805,0.613,0.473,1.583,2.451,0.738,1.711,108.985,2
20040331,103,0.45,0.473,0.111,0.33,4.746,0.508,0.108,0.818,0.617,0.487,1.609,2.454,0.446,1.651,117.276,2
20040630,103,0.434,0.445,0.105,0.308,4.513,0.495,0.108,0.766,0.607,0.465,1.548,2.497,0.479,1.656,109.979,2
20040930,103,0.409,0.425,0.1,0.29,3.784,0.468,0.108,0.694,0.596,0.446,1.481,3.125,0.518,1.623,104.028,2
20041231,103,0.303,0.337,0.246,0.213,2.828,0.343,0.153,0.439,0.559,0.363,1.28,3.321,0.555,1.262,96.052,2
20050331,103,0.338,0.378,0.103,0.245,3.222,0.384,0.153,0.515,0.571,0.396,1.342,4,0.445,1.379,105.155,2
20050630,103,0.311,0.363,0.103,0.23,3.142,0.351,0.153,0.456,0.563,0.381,1.301,4.411,0.393,1.299,107.967,2
20050930,103,0.293,0.346,0.101,0.215,3.122,0.326,0.153,0.416,0.56,0.367,1.286,4.733,0.356,1.25,112.768,2
20051231,103,0.268,0.301,0.235,0.183,2.07,0.293,0.186,0.366,0.556,0.336,1.266,5.478,0.631,1.283,90.998,2
20060331,103,0.274,0.32,0.1,0.196,2.817,0.302,0.186,0.378,0.556,0.35,1.269,5.229,0.395,1.272,111.987,2
20060630,103,0.267,0.299,0.098,0.184,2.408,0.299,0.186,0.363,0.549,0.335,1.233,5.777,0.424,1.335,111.729,2
20060930,103,0.254,0.28,0.094,0.172,2.068,0.287,0.186,0.338,0.542,0.321,1.199,6.379,0.434,1.368,111.631,2
20061231,103,0.225,0.273,0.179,0.156,1.748,0.23,0.193,0.295,0.558,0.306,1.281,6.941,1.036,1.417,82.296,2
20070331,103,0.233,0.267,0.077,0.16,1.694,0.257,0.193,0.305,0.541,0.305,1.198,7.511,0.653,1.423,94.861,2
20070630,103,0.208,0.252,0.069,0.149,1.496,0.23,0.193,0.265,0.533,0.288,1.157,8.444,0.707,1.411,86.45,2
20070930,103,0.19,0.227,0.063,0.134,1.271,0.216,0.193,0.238,0.52,0.266,1.101,9.854,0.788,1.457,77.199,2
20071231,103,0.151,0.151,0.241,0.097,0.84,0.216,0.114,0.175,0.452,0.214,0.839,11.878,1.049,1.591,64.223,2
20080331,103,0.153,0.166,0.073,0.104,0.881,0.205,0.114,0.18,0.467,0.22,0.893,14.212,0.761,1.566,73.153,2
20080630,103,0.152,0.154,0.072,0.098,0.799,0.212,0.114,0.177,0.457,0.213,0.857,16.633,0.77,1.622,71.194,1
20080930,103,0.15,0.15,0.07,0.097,0.759,0.215,0.114,0.173,0.45,0.212,0.835,18.935,0.771,1.634,69.405,1
20081231,103,0.198,0.198,0.267,0.099,0.773,0.166,0.144,0.254,0.599,0.279,1.535,20.124,0.92,1.44,59.595,1
20090331,103,0.17,0.17,0.076,0.098,0.733,0.187,0.144,0.204,0.523,0.241,1.12,21.441,0.723,1.57,67.808,1
20090630,103,0.182,0.182,0.077,0.099,0.713,0.177,0.144,0.224,0.557,0.257,1.282,22.742,0.691,1.529,67.126,1
20090930,103,0.196,0.196,0.078,0.1,0.698,0.169,0.144,0.247,0.589,0.274,1.457,22.795,0.666,1.49,64.952,1
20091231,103,0.19,0.19,0.212,0.099,0.676,0.17,0.199,0.236,0.579,0.275,1.391,24.732,0.851,1.425,57.459,1
20100331,103,0.19,0.19,0.065,0.099,0.671,0.171,0.199,0.237,0.578,0.27,1.387,24.707,0.645,1.476,65.53,1
20100630,103,0.189,0.189,0.064,0.099,0.677,0.173,0.199,0.235,0.575,0.27,1.366,24.112,0.633,1.441,64.514,1
