Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20060630,78,0.162,0.33,0.222,0.202,1.181,0.205,0.232,0.196,0.486,0.407,0.944,17.608,0.479,1.534,62.221,2
20060930,78,0.188,0.391,0.223,0.237,1.434,0.225,0.232,0.235,0.507,0.436,1.029,13.087,0.446,1.441,62.598,2
20061231,78,0.224,0.395,0.229,0.246,1.613,0.269,0.164,0.296,0.518,0.442,1.065,9.514,0.469,1.484,60.494,2
20070331,78,0.148,0.336,0.257,0.218,1.819,0.214,0.164,0.173,0.447,0.368,0.81,9.296,0.416,1.202,65.889,2
20070630,78,0.17,0.27,0.283,0.188,1.635,0.282,0.164,0.195,0.42,0.334,0.725,9.522,0.484,1.282,51.926,2
20070930,78,0.172,0.232,0.308,0.168,1.49,0.312,0.164,0.194,0.399,0.309,0.665,10.067,0.542,1.332,43.299,2
20071231,78,0.21,0.264,0.324,0.192,1.756,0.357,0.138,0.242,0.428,0.31,0.746,9.909,0.57,1.314,43.365,2
20080331,78,0.207,0.24,0.325,0.177,1.451,0.37,0.138,0.236,0.414,0.31,0.705,10.294,0.605,1.413,37.026,2
20080630,78,0.206,0.238,0.328,0.177,1.416,0.374,0.138,0.234,0.409,0.298,0.691,10.497,0.612,1.441,41.134,2
20080930,78,0.203,0.241,0.326,0.179,1.399,0.37,0.138,0.231,0.407,0.289,0.687,11.21,0.619,1.443,45.494,2
20081231,78,0.189,0.276,0.326,0.193,1.601,0.305,0.15,0.212,0.433,0.31,0.763,10.883,0.547,1.225,47.037,2
20090331,78,0.197,0.247,0.327,0.181,1.42,0.351,0.15,0.223,0.411,0.29,0.699,11.302,0.61,1.401,47.459,2
20090630,78,0.189,0.253,0.327,0.183,1.439,0.328,0.15,0.211,0.414,0.293,0.707,11.296,0.596,1.351,47.938,2
20090930,78,0.19,0.262,0.329,0.188,1.496,0.323,0.15,0.212,0.421,0.3,0.726,11.332,0.579,1.324,47.975,2
20091231,78,0.196,0.251,0.311,0.181,1.428,0.339,0.156,0.222,0.419,0.292,0.722,11.315,0.585,1.426,48.816,2
