Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
19980331,25,0.161,0.201,0.276,0.099,0.484,0.135,0.018,0.192,0.587,0.542,1.422,9.194,0.639,1.713,25.526,1
19980630,25,0.144,0.16,0.279,0.077,0.564,0.117,0.061,0.168,0.59,0.542,1.437,20.58,0.723,1.751,25.578,1
19980930,25,0.178,0.213,0.282,0.106,0.564,0.149,0.061,0.217,0.593,0.546,1.458,20.58,0.669,1.724,25.578,1
19981231,25,0.196,0.226,0.289,0.114,0.564,0.167,0.061,0.244,0.595,0.545,1.467,20.58,0.698,1.75,25.578,1
19990331,25,0.252,0.277,0.308,0.148,0.564,0.225,0.061,0.336,0.599,0.543,1.495,20.58,0.743,1.783,25.578,1
19990630,25,0.261,0.27,0.339,0.153,1.006,0.254,0.072,0.353,0.582,0.511,1.394,10.298,0.749,1.739,26.211,1
19990930,25,0.281,0.298,0.321,0.165,0.813,0.258,0.072,0.39,0.602,0.536,1.51,10.298,0.728,1.74,31.98,1
19991231,25,0.294,0.311,0.317,0.172,1.094,0.268,0.072,0.416,0.609,0.54,1.556,10.298,0.722,1.713,32.27,1
20000331,25,0.303,0.315,0.303,0.173,1.09,0.269,0.072,0.435,0.617,0.549,1.614,10.298,0.711,1.703,30.757,1
20000630,25,0.272,0.277,0.271,0.148,1.006,0.236,0.102,0.373,0.612,0.533,1.578,0,0.705,1.612,31.631,1
20000930,25,0.311,0.321,0.279,0.174,1.097,0.269,0.102,0.451,0.626,0.558,1.676,0,0.707,1.681,26.638,1
20001231,25,0.314,0.318,0.275,0.17,1.092,0.265,0.102,0.457,0.633,0.569,1.724,0,0.698,1.672,26.791,1
20010331,25,0.301,0.305,0.281,0.16,1.069,0.25,0.102,0.431,0.633,0.573,1.724,0,0.688,1.648,26.788,1
20010630,25,0.256,0.258,0.247,0.129,0.996,0.203,0.095,0.31,0.629,0.57,1.693,0,0.674,1.63,24.624,1
20010930,25,0.288,0.291,0.254,0.148,1.071,0.228,0.095,0.405,0.639,0.584,1.772,0,0.65,1.65,29.763,1
20011231,25,0.285,0.288,0.241,0.146,1.085,0.228,0.095,0.398,0.636,0.581,1.749,0,0.625,1.676,33.225,1
20020331,25,0.282,0.284,0.224,0.146,1.075,0.23,0.095,0.392,0.63,0.572,1.704,0,0.625,1.724,35.452,1
20020630,25,0.257,0.259,0.211,0.135,1.004,0.22,0.098,0.311,0.611,0.547,1.571,0,0.667,1.748,29.408,1
20020930,25,0.274,0.276,0.224,0.145,1.03,0.233,0.098,0.367,0.618,0.556,1.618,0,0.637,1.767,35.979,1
20021231,25,0.264,0.266,0.221,0.139,0.977,0.225,0.098,0.349,0.614,0.552,1.594,0,0.646,1.755,34.55,1
20030331,25,0.254,0.256,0.219,0.133,0.926,0.216,0.098,0.331,0.612,0.55,1.576,0,0.618,1.709,33.431,1
