Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20000930,54,0.186,0.339,0.66,0.192,2.166,0.196,0.037,0.233,0.539,0.372,1.187,2.626,1.533,1.831,116.239,1
20001231,54,0.209,0.524,0.691,0.26,3.184,0.171,0.125,0.267,0.607,0.465,1.562,2.205,1.266,1.455,123.115,1
20010331,54,0.194,0.43,0.674,0.231,2.425,0.183,0.125,0.244,0.568,0.414,1.328,2.756,1.405,1.634,113.157,1
20010630,54,0.195,0.425,0.687,0.222,2.1,0.175,0.125,0.244,0.58,0.415,1.394,3.553,1.379,1.605,113.404,1
20010930,54,0.211,0.412,0.702,0.214,1.786,0.186,0.125,0.27,0.59,0.418,1.451,4.777,1.407,1.638,113.132,1
20011231,54,0.226,0.247,0.735,0.139,1.013,0.227,0.371,0.295,0.563,0.34,1.299,6.646,1.646,1.916,108.868,1
20020331,54,0.221,0.268,0.727,0.15,1.222,0.218,0.371,0.286,0.565,0.353,1.313,6.015,1.648,1.928,114.201,1
20020630,54,0.23,0.259,0.722,0.14,2.176,0.213,0.371,0.302,0.583,0.358,1.413,1.398,1.646,1.931,108.166,1
20020930,54,0.221,0.256,0.704,0.132,2.513,0.19,0.371,0.287,0.599,0.359,1.506,0.439,1.587,1.865,104.001,2
20021231,54,0.246,0.317,0.586,0.119,5.277,0.128,0.17,0.332,0.717,0.422,2.59,-1.912,1.475,1.699,100.087,2
20030331,54,0.229,0.29,0.635,0.122,3.525,0.143,0.17,0.302,0.675,0.394,2.114,-0.694,1.504,1.757,89.427,2
20030630,54,0.277,0.331,0.593,0.137,2.148,0.163,0.17,0.39,0.701,0.426,2.392,3.146,1.597,1.838,87.186,2
20030930,54,0.327,0.368,0.583,0.15,2.462,0.184,0.17,0.498,0.726,0.458,2.711,3.019,1.683,1.916,84.124,2
20031231,54,0.563,0.57,0.602,0.223,2.963,0.266,-0.06,1.341,0.829,0.673,5.032,4.662,1.104,1.21,72.496,2
20040331,54,0.491,0.503,0.594,0.207,2.545,0.257,-0.06,0.995,0.79,0.601,3.877,4.125,1.392,1.538,72.63,2
20040630,54,0.559,0.565,0.608,0.225,2.946,0.27,-0.06,1.318,0.824,0.667,4.88,3.301,1.301,1.425,72.259,2
20040930,54,0.631,0.637,0.593,0.242,3.008,0.278,-0.06,1.795,0.86,0.737,6.459,3.57,1.229,1.336,69.574,2
20041231,54,0.471,0.518,0.577,0.25,3.068,0.306,0.079,0.914,0.744,0.613,2.99,3.406,1.308,1.41,68.281,2
20050331,54,0.544,0.594,0.581,0.259,2.582,0.296,0.079,1.241,0.801,0.681,4.189,4.578,1.318,1.436,70.34,2
20050630,54,0.476,0.536,0.568,0.262,1.782,0.314,0.079,0.935,0.743,0.624,2.983,7.435,1.393,1.532,64.795,2
20050930,54,0.402,0.477,0.559,0.265,1.492,0.335,0.079,0.689,0.668,0.559,2.061,8.964,1.508,1.677,63.526,2
20051231,54,0.302,0.343,0.515,0.213,1.077,0.331,0.083,0.441,0.566,0.448,1.333,11.899,1.887,2.102,65.17,2
20060331,54,0.326,0.379,0.52,0.235,1.056,0.347,0.083,0.495,0.583,0.47,1.428,13.609,1.858,2.089,71.218,2
20060630,54,0.298,0.345,0.495,0.217,0.98,0.333,0.083,0.432,0.56,0.438,1.297,15.059,1.937,2.172,82.535,2
20060930,54,0.283,0.314,0.48,0.198,0.872,0.326,0.083,0.402,0.548,0.416,1.234,17.243,1.968,2.211,92.279,2
20061231,54,0.263,0.267,0.418,0.168,0.69,0.31,0.406,0.378,0.535,0.392,1.22,20.446,2.099,2.366,59.717,2
20070331,54,0.267,0.279,0.384,0.174,0.766,0.306,0.406,0.374,0.543,0.377,1.219,20.447,2.01,2.271,101.079,2
20070630,54,0.277,0.281,0.37,0.18,0.723,0.331,0.406,0.393,0.536,0.371,1.187,21.106,2.098,2.422,97.034,1
20070930,54,0.285,0.287,0.359,0.191,0.709,0.361,0.406,0.408,0.525,0.363,1.132,21.491,2.234,2.64,96.592,1
20071231,54,0.274,0.291,0.408,0.212,0.691,0.425,0.441,0.383,0.47,0.341,0.899,22.377,2.536,3.141,93.214,1
20080331,54,0.291,0.301,0.418,0.22,0.684,0.441,0.441,0.417,0.483,0.358,0.946,21.962,2.55,3.218,94.183,1
20080630,54,0.274,0.289,0.43,0.211,0.66,0.426,0.441,0.383,0.47,0.345,0.898,22.516,2.479,3.141,94.311,1
20080930,54,0.262,0.281,0.452,0.205,0.627,0.415,0.441,0.36,0.461,0.337,0.866,24.148,2.384,3.049,93.889,1
20081231,54,0.25,0.253,0.512,0.182,0.555,0.389,0.403,0.335,0.462,0.312,0.86,24.781,2.008,2.665,91.024,1
