Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20001231,15,0.43,0.58,0.633,0.348,2.137,0.392,0.146,0.853,0.658,0.648,3.133,3.953,0.59,0.646,23.647,1
20010331,15,0.404,0.592,0.647,0.346,1.994,0.363,0.146,0.77,0.652,0.669,3.057,3.898,0.528,0.575,23.647,1
20010630,15,0.421,0.605,0.64,0.357,2.03,0.378,0.146,0.818,0.658,0.676,3.132,4.051,0.546,0.597,23.647,1
20010930,15,0.438,0.616,0.622,0.369,2.117,0.395,0.146,0.874,0.664,0.682,3.208,4.109,0.563,0.621,23.647,1
20011231,15,0.455,0.641,0.615,0.377,2.213,0.393,0.17,0.93,0.68,0.681,3.568,4.123,0.558,0.61,40.677,1
20020331,15,0.45,0.635,0.618,0.375,2.202,0.395,0.17,0.908,0.675,0.691,3.453,4.857,0.574,0.628,40.677,1
20020630,15,0.457,0.635,0.611,0.372,2.182,0.392,0.17,0.924,0.682,0.7,3.649,5.12,0.582,0.637,40.677,1
20020930,15,0.459,0.618,0.593,0.362,2.122,0.394,0.17,0.93,0.683,0.702,3.742,5.373,0.621,0.672,40.677,1
20021231,15,0.441,0.533,0.602,0.323,1.867,0.405,0.2,0.86,0.661,0.644,3.394,4.541,0.718,0.774,41.228,1
20030331,15,0.445,0.565,0.558,0.336,2.229,0.395,0.2,0.863,0.67,0.679,3.518,3.693,0.682,0.735,41.228,1
20030630,15,0.429,0.532,0.553,0.317,2.139,0.388,0.2,0.802,0.659,0.658,3.317,3.669,0.685,0.736,41.228,1
20030930,15,0.414,0.508,0.564,0.301,2.085,0.376,0.2,0.741,0.652,0.641,3.183,3.5,0.657,0.708,41.228,1
20031231,15,0.405,0.467,0.544,0.273,1.663,0.364,0.208,0.714,0.652,0.597,3.232,4.649,0.64,0.688,8.045,1
20040331,15,0.399,0.476,0.561,0.278,1.723,0.36,0.208,0.689,0.648,0.624,3.148,4.629,0.613,0.661,8.045,1
20040630,15,0.396,0.458,0.563,0.27,1.649,0.361,0.208,0.683,0.644,0.617,3.108,4.808,0.637,0.689,8.045,1
20040930,15,0.394,0.446,0.552,0.263,1.573,0.362,0.208,0.68,0.642,0.612,3.087,5.155,0.666,0.72,8.045,1
20041231,15,0.363,0.4,0.505,0.237,1.41,0.345,0.211,0.594,0.623,0.528,2.751,5.444,0.776,0.842,18.088,1
20050331,15,0.374,0.413,0.54,0.245,1.442,0.354,0.211,0.626,0.628,0.583,2.846,5.619,0.71,0.772,18.088,1
20050630,15,0.362,0.412,0.545,0.242,1.452,0.342,0.211,0.593,0.624,0.576,2.774,5.551,0.673,0.732,18.088,1
20050930,15,0.353,0.406,0.556,0.239,1.526,0.335,0.211,0.57,0.619,0.568,2.701,4.972,0.643,0.703,18.088,1
20051231,15,0.324,0.397,0.559,0.232,1.364,0.313,0.216,0.513,0.605,0.513,2.563,5.746,0.585,0.656,29.513,1
20060331,15,0.334,0.406,0.578,0.237,1.557,0.318,0.216,0.534,0.611,0.559,2.595,4.753,0.567,0.626,29.513,1
20060630,15,0.325,0.4,0.553,0.233,1.54,0.311,0.216,0.521,0.607,0.553,2.534,4.685,0.57,0.629,29.513,1
20060930,15,0.311,0.402,0.527,0.231,1.469,0.295,0.216,0.492,0.605,0.547,2.482,5.08,0.567,0.621,29.513,1
20061231,15,0.271,0.345,0.485,0.193,1.264,0.256,0.215,0.442,0.593,0.456,2.306,5.104,0.651,0.698,21.199,1
