Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number
20060930,31,0.271,0.274,0.064,0.246,2.237,0.709,0.026,0.372,0.344,0.293,0.525,21.058,8.834,9.805,138.473,4
20061231,31,0.237,0.238,0.098,0.213,1.897,0.67,0.34,0.31,0.316,0.259,0.462,26.136,6.733,7.547,156.864,4
20070331,31,0.241,0.242,0.076,0.217,1.838,0.681,0.34,0.317,0.318,0.265,0.466,26.381,7.212,8.042,138.141,4
20070630,31,0.235,0.236,0.087,0.212,2.03,0.67,0.34,0.307,0.315,0.262,0.459,24.127,6.318,7.137,136.124,4
20070930,31,0.231,0.232,0.106,0.207,2.455,0.66,0.34,0.3,0.313,0.26,0.455,19.624,5.499,6.285,124.075,4
20071231,31,0.105,0.121,0.213,0.088,3.753,0.22,0.043,0.089,0.349,0.141,0.535,15.57,1.963,2.365,116.224,4
20080331,31,0.175,0.245,0.153,0.19,6.261,0.377,0.043,0.171,0.361,0.21,0.564,9.238,3.286,3.791,85.665,4
20080630,31,0.177,0.218,0.187,0.165,12.608,0.354,0.043,0.166,0.377,0.21,0.606,1.242,2.775,3.211,92.508,4
20080930,31,0.178,0.189,0.22,0.141,20.784,0.342,0.043,0.162,0.388,0.208,0.633,-0.128,2.335,2.727,89.568,4
20081231,31,0.198,0.205,0.395,0.152,32.481,0.361,-0.006,0.187,0.406,0.227,0.684,-0.837,0.673,0.947,68.126,4
20090331,31,0.188,0.195,0.294,0.145,-50.975,0.353,-0.006,0.176,0.397,0.217,0.658,-1.307,1.279,1.629,85.672,4
20090630,31,0.167,0.172,0.33,0.127,35.686,0.318,-0.006,0.153,0.387,0.199,0.632,-0.988,0.852,1.183,40.762,4
20090930,31,0.142,0.148,0.32,0.107,32.481,0.273,-0.006,0.128,0.376,0.177,0.604,-0.837,0.67,0.996,68.126,4
20120331,31,0.049,0.074,0.19,0.051,0.306,0.099,0.369,0.042,0.344,0.1,0.524,8.865,1.059,1.69,106.736,4
20120630,31,0.04,0.068,0.176,0.047,0.3,0.081,0.369,0.034,0.341,0.094,0.517,8.101,1.124,1.749,98.519,4
20120930,31,0.027,0.056,0.171,0.038,0.303,0.055,0.369,0.022,0.335,0.082,0.504,5.509,1.073,1.757,113.552,4
